jL,cL,emL,pL,dsL
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Rainfall,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Rainfall,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Rainfall,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Rainfall,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Rainfall,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Reservoir Surface Area,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Reservoir Surface Area,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Reservoir Surface Area,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Reservoir Surface Area,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Reservoir Surface Area,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Reservoir Surface Area,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Gross Evaporation Rate,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Gross Evaporation Rate,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Gross Evaporation Rate,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Gross Evaporation Rate,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Gross Evaporation Rate,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Monthly Gross Evaporation Rate,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Winter Ice Surface Area,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Winter Ice Surface Area,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Winter Ice Surface Area,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Winter Ice Surface Area,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Winter Ice Surface Area,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Empirical Data for Small Reservoirs,Winter Ice Surface Area,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Annual Evaporation,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Annual Evaporation,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Annual Evaporation,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Annual Evaporation,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Annual Evaporation,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Annual Evaporation,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Evaporation,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Evaporation,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Evaporation,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Evaporation,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Evaporation,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Evaporation,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Average Monthly Reservoir Gage Height,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Average Monthly Reservoir Gage Height,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Average Monthly Reservoir Gage Height,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Average Monthly Reservoir Gage Height,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Average Monthly Reservoir Gage Height,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Average Monthly Reservoir Gage Height,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Class A Pan Evaporation Data,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Class A Pan Evaporation Data,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Class A Pan Evaporation Data,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Class A Pan Evaporation Data,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Class A Pan Evaporation Data,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Class A Pan Evaporation Data,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Precipitation Volume,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Precipitation Volume,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Precipitation Volume,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Precipitation Volume,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Precipitation Volume,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Precipitation Volume,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Rainfall,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Rainfall,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Rainfall,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Rainfall,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Rainfall,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Rainfall,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Reservoir Surface Area,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Reservoir Surface Area,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Reservoir Surface Area,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Reservoir Surface Area,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Reservoir Surface Area,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Reservoir Surface Area,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Gross Evaporation Rate,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Gross Evaporation Rate,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Gross Evaporation Rate,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Gross Evaporation Rate,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Gross Evaporation Rate,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Monthly Gross Evaporation Rate,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Winter Ice Surface Area,USGS Stream Gages
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Winter Ice Surface Area,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Winter Ice Surface Area,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Winter Ice Surface Area,Irrigation Districts
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Winter Ice Surface Area,US Army Corps of Engineers
NM,Evaporation from Reservoirs-NMOSE,Pan Approach,Winter Ice Surface Area,New Mexico Interstate Stream Commission (NMISC)
NM,Groundwater Diversions-NM,,,
NM,Groundwater ET-NM,,,
NM,Riparian Consumption-NM,,,
NM,Groundwater Inflows-NM,,,
NM,Groundwater Outflows-NM,,,
NM,Groundwater Return-NM,,,
NM,Groundwater Stock-NM,,,
NM,Human Storage and Distribution System Stock-NM,,,
NM,Land Surface Evapotranspiration-NM,,,
NM,Land Surface Stock-NM,,,
NM,Livestock: Metered-NMOSE,Metered,Flow,NM Office of the State Engineer (NMOSE)
NM,Livestock: Unmetered-NMOSE,Withdrawal Method,Gallons Per Capita Per Day (GPDPC),New Mexico Department of Agriculture
NM,Livestock: Unmetered-NMOSE,Withdrawal Method,Livestock Population,New Mexico Department of Agriculture
NM,Mining: Reported-NMOSE,,,
NM,Mining: Unreported-NMOSE,Personal Outreach,Water Use Estimate,Facility Director or Operator
NM,Power: Reported-NMOSE,,,
NM,Power: Unreported-NMOSE,Personal Outreach,Water Use Estimate,Facility Director or Operator
NM,Public Water Supply: Metered-NMOSE,Metered,Flow,NM Office of the State Engineer (NMOSE)
NM,Public Water Supply: Metered-NMOSE,Metered,Flow,NMOSE’s Water Use and Conservation Bureau (WUCB) Survey
NM,Public Water Supply: Unmetered-NMOSE,Withdrawal Method,Gallons Per Capita Per Day (GPDPC),US Census Bureau
NM,Public Water Supply: Unmetered-NMOSE,Withdrawal Method,Gallons Per Capita Per Day (GPDPC),NM Office of the State Engineer (NMOSE)
NM,Public Water Supply: Unmetered-NMOSE,Withdrawal Method,Gallons Per Capita Per Day (GPDPC),New Mexico Environment Department (NMED)
NM,Public Water Supply: Unmetered-NMOSE,Withdrawal Method,Gallons Per Capita Per Day (GPDPC),University of New Mexico Geospatial and Population Studies (UNM GPS)
NM,Public Water Supply: Unmetered-NMOSE,Withdrawal Method,Gallons Per Capita Per Day (GPDPC),NMOSE Technical Report No. 48
NM,Public Water Supply: Unmetered-NMOSE,Withdrawal Method,Gallons Per Capita Per Day (GPDPC),GPS Population Data
NM,Public Water Supply: Unmetered-NMOSE,Withdrawal Method,Gallons Per Capita Per Day (GPDPC),Military Base Population Data
NM,Public Water Supply: Unmetered-NMOSE,Withdrawal Method,Population Served by Public Water Supply,US Census Bureau
NM,Public Water Supply: Unmetered-NMOSE,Withdrawal Method,Population Served by Public Water Supply,NM Office of the State Engineer (NMOSE)
NM,Public Water Supply: Unmetered-NMOSE,Withdrawal Method,Population Served by Public Water Supply,New Mexico Environment Department (NMED)
NM,Public Water Supply: Unmetered-NMOSE,Withdrawal Method,Population Served by Public Water Supply,University of New Mexico Geospatial and Population Studies (UNM GPS)
