jL,cL,emL,pL,dsL
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Monthly Percentage of Annual Daylight Hours (P),CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Monthly Percentage of Annual Daylight Hours (P),Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Monthly Percentage of Annual Daylight Hours (P),"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Monthly Percentage of Annual Daylight Hours (P),CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Monthly Percentage of Annual Daylight Hours (P),CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Monthly Percentage of Annual Daylight Hours (P),HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Monthly Percentage of Annual Daylight Hours (P),National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Type,USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Type,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Type,SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Type,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Type,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Type,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Type,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Type,Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Type,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Type,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Type,CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Type,HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Crop Type,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Effective Precipitation,USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Effective Precipitation,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Effective Precipitation,SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Effective Precipitation,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Effective Precipitation,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Effective Precipitation,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Effective Precipitation,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Effective Precipitation,Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Effective Precipitation,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Effective Precipitation,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Effective Precipitation,CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Effective Precipitation,HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Effective Precipitation,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigated Acreage,USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigated Acreage,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigated Acreage,SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigated Acreage,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigated Acreage,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigated Acreage,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigated Acreage,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigated Acreage,Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigated Acreage,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigated Acreage,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigated Acreage,CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigated Acreage,HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Irrigated Acreage,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Potential Consumptive Use,USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Potential Consumptive Use,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Potential Consumptive Use,SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Potential Consumptive Use,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Potential Consumptive Use,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Potential Consumptive Use,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Potential Consumptive Use,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Potential Consumptive Use,Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Potential Consumptive Use,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Potential Consumptive Use,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Potential Consumptive Use,CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Potential Consumptive Use,HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Potential Consumptive Use,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Source,USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Source,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Source,SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Source,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Source,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Source,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Source,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Source,Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Source,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Source,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Source,CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Source,HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Source,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Water Supply,USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Water Supply,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Water Supply,SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Water Supply,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Water Supply,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Water Supply,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Water Supply,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Water Supply,Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Water Supply,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Water Supply,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Water Supply,CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Water Supply,HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Water Supply,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Precipitation,USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Precipitation,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Precipitation,SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Precipitation,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Precipitation,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Precipitation,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Precipitation,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Precipitation,Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Precipitation,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Precipitation,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Precipitation,CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Precipitation,HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Precipitation,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Type,USGS Stream Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Type,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Type,SCS TR21
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Type,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Type,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Type,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Type,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Type,Weather Stations
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Type,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Type,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Type,CO Diversion Records
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Type,HydroBase
CO,Crop Consumptive Use-CO,CO Consumptive Use Method,Supply Type,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,SCS TR21,Irrigation Method,USGS Stream Gages
CO,Crop Consumptive Use-CO,SCS TR21,Irrigation Method,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,SCS TR21,Irrigation Method,SCS TR21
CO,Crop Consumptive Use-CO,SCS TR21,Irrigation Method,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,SCS TR21,Irrigation Method,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,SCS TR21,Irrigation Method,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,SCS TR21,Irrigation Method,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,SCS TR21,Irrigation Method,Weather Stations
CO,Crop Consumptive Use-CO,SCS TR21,Irrigation Method,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,SCS TR21,Irrigation Method,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,SCS TR21,Irrigation Method,CO Diversion Records
CO,Crop Consumptive Use-CO,SCS TR21,Irrigation Method,HydroBase
CO,Crop Consumptive Use-CO,SCS TR21,Irrigation Method,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,SCS TR21,Crop Irrigation Requirement,USGS Stream Gages
CO,Crop Consumptive Use-CO,SCS TR21,Crop Irrigation Requirement,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,SCS TR21,Crop Irrigation Requirement,SCS TR21
CO,Crop Consumptive Use-CO,SCS TR21,Crop Irrigation Requirement,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,SCS TR21,Crop Irrigation Requirement,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,SCS TR21,Crop Irrigation Requirement,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,SCS TR21,Crop Irrigation Requirement,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,SCS TR21,Crop Irrigation Requirement,Weather Stations
CO,Crop Consumptive Use-CO,SCS TR21,Crop Irrigation Requirement,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,SCS TR21,Crop Irrigation Requirement,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,SCS TR21,Crop Irrigation Requirement,CO Diversion Records
CO,Crop Consumptive Use-CO,SCS TR21,Crop Irrigation Requirement,HydroBase
CO,Crop Consumptive Use-CO,SCS TR21,Crop Irrigation Requirement,National Agricultural Statistics Service (NASS) Cropland Data Layer
CO,Crop Consumptive Use-CO,SCS TR21,Solar Radiation,USGS Stream Gages
CO,Crop Consumptive Use-CO,SCS TR21,Solar Radiation,National Oceanic and Atmospheric Administration Stations
CO,Crop Consumptive Use-CO,SCS TR21,Solar Radiation,SCS TR21
CO,Crop Consumptive Use-CO,SCS TR21,Solar Radiation,Satellite and Aerial Photos
CO,Crop Consumptive Use-CO,SCS TR21,Solar Radiation,Snotel Network of Weather Stations
CO,Crop Consumptive Use-CO,SCS TR21,Solar Radiation,Remote Automated Weather Stations (RAWS)
CO,Crop Consumptive Use-CO,SCS TR21,Solar Radiation,CO Agricultural Meteorology Network Station (COAGM)
CO,Crop Consumptive Use-CO,SCS TR21,Solar Radiation,Weather Stations
CO,Crop Consumptive Use-CO,SCS TR21,Solar Radiation,"Community Collaborative Rain, Hail and Snow Network (CoCoRaHS)"
CO,Crop Consumptive Use-CO,SCS TR21,Solar Radiation,CO Division of Water Resources Gages
CO,Crop Consumptive Use-CO,SCS TR21,Solar Radiation,CO Diversion Records
CO,Crop Consumptive Use-CO,SCS TR21,Solar Radiation,HydroBase
CO,Crop Consumptive Use-CO,SCS TR21,Solar Radiation,National Agricultural Statistics Service (NASS) Cropland Data Layer
