jL,cL,emL,pL,dsL
NM,Evaporation from Reservoirs,Empirical Data for Small Reservoirs,Reservoir Surface Area,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs,Empirical Data for Small Reservoirs,Reservoir Surface Area,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs,Empirical Data for Small Reservoirs,Reservoir Surface Area,US Army Corps of Engineers
NM,Evaporation from Reservoirs,Empirical Data for Small Reservoirs,Reservoir Surface Area,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs,Empirical Data for Small Reservoirs,Reservoir Surface Area,USGS Stream Gages
NM,Evaporation from Reservoirs,Pan Approach,Annual Evaporation,Monthly Evaporation
NM,Evaporation from Reservoirs,Pan Approach,Average Monthly Reservoir Gage Height,Irrigation Districts
NM,Evaporation from Reservoirs,Pan Approach,Average Monthly Reservoir Gage Height,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs,Pan Approach,Average Monthly Reservoir Gage Height,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs,Pan Approach,Average Monthly Reservoir Gage Height,US Army Corps of Engineers
NM,Evaporation from Reservoirs,Pan Approach,Average Monthly Reservoir Gage Height,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs,Pan Approach,Average Monthly Reservoir Gage Height,USGS Stream Gages
NM,Evaporation from Reservoirs,Pan Approach,Class A Pan Evaporation Data,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs,Pan Approach,Class A Pan Evaporation Data,Weather Stations
NM,Evaporation from Reservoirs,Pan Approach,Monthly Evaporation,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs,Pan Approach,Monthly Evaporation,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs,Pan Approach,Monthly Gross Evaporation Rate,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs,Pan Approach,Rainfall,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs,Pan Approach,Reservoir Surface Area,Irrigation Districts
NM,Evaporation from Reservoirs,Pan Approach,Reservoir Surface Area,National Oceanic and Atmospheric Administration Stations
NM,Evaporation from Reservoirs,Pan Approach,Reservoir Surface Area,New Mexico Interstate Stream Commission (NMISC)
NM,Evaporation from Reservoirs,Pan Approach,Reservoir Surface Area,US Army Corps of Engineers
NM,Evaporation from Reservoirs,Pan Approach,Reservoir Surface Area,US Bureau of Reclamation Stations
NM,Evaporation from Reservoirs,Pan Approach,Reservoir Surface Area,USGS Stream Gages
NM,Evaporation from Reservoirs,Pan Approach,Winter Ice Surface Area,Historical Data
NM,Industrial,NA,NA,NA
NM,Irrigated Agriculture,NA,NA,NA
NM,Irrigated Agriculture Depletions,Modified Blaney-Criddle,Crop Growth State Coefficient (Kc),SCS TR21
NM,Irrigated Agriculture Depletions,Modified Blaney-Criddle,Mean Monthly Air Temperatures (T),PRISM
NM,Irrigated Agriculture Depletions,Modified Blaney-Criddle,Mean Monthly Air Temperatures (T),SCS TR21
NM,Irrigated Agriculture Depletions,Modified Blaney-Criddle,Mean Monthly Air Temperatures (T),Weather Stations
NM,Irrigated Agriculture Depletions,Original Blaney-Criddle,Crop Growth State Coefficient (Kc),SCS TR21
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Gallons Per Capita Per Day (GPCD),Brown and Caldwell1984
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Gallons Per Capita Per Day (GPCD),NM Office of the State Engineer (NMOSE)
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Gallons Per Capita Per Day (GPCD),NMOSE Technical Report No. 48
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Livestock Population,New Mexico Department of Agriculture
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Population Served by Public Water Supply,GPS Population Data
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Population Served by Public Water Supply,Military Base Population Data
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Population Served by Public Water Supply,New Mexico Environment Department (NMED)
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Population Served by Public Water Supply,University of New Mexico Geospatial and Population Studies (UNM GPS)
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Population Served by Public Water Supply,US Census Bureau
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Self Supplied Domestic Population,GPS Population Data
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Self Supplied Domestic Population,Military Base Population Data
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Self Supplied Domestic Population,New Mexico Environment Department (NMED)
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Self Supplied Domestic Population,Population Served by Public Water Supply
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Self Supplied Domestic Population,University of New Mexico Geospatial and Population Studies (UNM GPS)
NM,Irrigated Agriculture Diversions,NM Withdrawal Method,Self Supplied Domestic Population,US Census Bureau
NM,Livestock,NA,NA,NA
NM,Livestock: Metered,NA,NA,NA
NM,Livestock: Unmetered,NM Withdrawal Method,Gallons Per Capita Per Day (GPCD),Brown and Caldwell1984
NM,Livestock: Unmetered,NM Withdrawal Method,Gallons Per Capita Per Day (GPCD),NM Office of the State Engineer (NMOSE)
NM,Livestock: Unmetered,NM Withdrawal Method,Gallons Per Capita Per Day (GPCD),NMOSE Technical Report No. 48
NM,Livestock: Unmetered,NM Withdrawal Method,Livestock Population,New Mexico Department of Agriculture
NM,Livestock: Unmetered,NM Withdrawal Method,Population Served by Public Water Supply,GPS Population Data
NM,Livestock: Unmetered,NM Withdrawal Method,Population Served by Public Water Supply,Military Base Population Data
NM,Livestock: Unmetered,NM Withdrawal Method,Population Served by Public Water Supply,New Mexico Environment Department (NMED)
NM,Livestock: Unmetered,NM Withdrawal Method,Population Served by Public Water Supply,University of New Mexico Geospatial and Population Studies (UNM GPS)
NM,Livestock: Unmetered,NM Withdrawal Method,Population Served by Public Water Supply,US Census Bureau
NM,Livestock: Unmetered,NM Withdrawal Method,Self Supplied Domestic Population,GPS Population Data
NM,Livestock: Unmetered,NM Withdrawal Method,Self Supplied Domestic Population,Military Base Population Data
NM,Livestock: Unmetered,NM Withdrawal Method,Self Supplied Domestic Population,New Mexico Environment Department (NMED)
NM,Livestock: Unmetered,NM Withdrawal Method,Self Supplied Domestic Population,Population Served by Public Water Supply
NM,Livestock: Unmetered,NM Withdrawal Method,Self Supplied Domestic Population,University of New Mexico Geospatial and Population Studies (UNM GPS)
NM,Livestock: Unmetered,NM Withdrawal Method,Self Supplied Domestic Population,US Census Bureau
NM,Mining,NA,NA,NA
NM,Power,NA,NA,NA
NM,Power: Unreported,Personal Outreach,Water Use Estimate,Facility Director or Operator
NM,Public Water Supply,NA,NA,NA
NM,Public Water Supply: Metered,NA,NA,NA
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Gallons Per Capita Per Day (GPCD),Brown and Caldwell1984
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Gallons Per Capita Per Day (GPCD),NM Office of the State Engineer (NMOSE)
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Gallons Per Capita Per Day (GPCD),NMOSE Technical Report No. 48
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Livestock Population,New Mexico Department of Agriculture
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Population Served by Public Water Supply,GPS Population Data
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Population Served by Public Water Supply,Military Base Population Data
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Population Served by Public Water Supply,New Mexico Environment Department (NMED)
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Population Served by Public Water Supply,University of New Mexico Geospatial and Population Studies (UNM GPS)
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Population Served by Public Water Supply,US Census Bureau
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Self Supplied Domestic Population,GPS Population Data
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Self Supplied Domestic Population,Military Base Population Data
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Self Supplied Domestic Population,New Mexico Environment Department (NMED)
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Self Supplied Domestic Population,Population Served by Public Water Supply
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Self Supplied Domestic Population,University of New Mexico Geospatial and Population Studies (UNM GPS)
NM,Public Water Supply: Unmetered,NM Withdrawal Method,Self Supplied Domestic Population,US Census Bureau
NM,Self-Supplied Domestic,NM Withdrawal Method,Gallons Per Capita Per Day (GPCD),Brown and Caldwell1984
NM,Self-Supplied Domestic,NM Withdrawal Method,Gallons Per Capita Per Day (GPCD),NM Office of the State Engineer (NMOSE)
NM,Self-Supplied Domestic,NM Withdrawal Method,Gallons Per Capita Per Day (GPCD),NMOSE Technical Report No. 48
NM,Self-Supplied Domestic,NM Withdrawal Method,Livestock Population,New Mexico Department of Agriculture
NM,Self-Supplied Domestic,NM Withdrawal Method,Population Served by Public Water Supply,GPS Population Data
NM,Self-Supplied Domestic,NM Withdrawal Method,Population Served by Public Water Supply,Military Base Population Data
NM,Self-Supplied Domestic,NM Withdrawal Method,Population Served by Public Water Supply,New Mexico Environment Department (NMED)
NM,Self-Supplied Domestic,NM Withdrawal Method,Population Served by Public Water Supply,University of New Mexico Geospatial and Population Studies (UNM GPS)
NM,Self-Supplied Domestic,NM Withdrawal Method,Population Served by Public Water Supply,US Census Bureau
NM,Self-Supplied Domestic,NM Withdrawal Method,Self Supplied Domestic Population,GPS Population Data
NM,Self-Supplied Domestic,NM Withdrawal Method,Self Supplied Domestic Population,Military Base Population Data
NM,Self-Supplied Domestic,NM Withdrawal Method,Self Supplied Domestic Population,New Mexico Environment Department (NMED)
NM,Self-Supplied Domestic,NM Withdrawal Method,Self Supplied Domestic Population,Population Served by Public Water Supply
NM,Self-Supplied Domestic,NM Withdrawal Method,Self Supplied Domestic Population,University of New Mexico Geospatial and Population Studies (UNM GPS)
NM,Self-Supplied Domestic,NM Withdrawal Method,Self Supplied Domestic Population,US Census Bureau
UT,Agricultural and Municipal Depletions,NA,NA,NA
UT,Agricultural and Municipal Diversions,NA,NA,NA
UT,Agricultural Depletions,NA,NA,NA
UT,Agricultural Potential Consumptive Use,NA,NA,NA
UT,Area Outflows,NA,NA,NA
UT,Basin Inflow,NA,NA,NA
UT,Basin Outflow,NA,NA,NA
UT,Cropland Precipitation,NA,NA,NA
UT,Groundwater Use,NA,NA,NA
UT,Municipal and Industrial Depeltion,NA,NA,NA
UT,Municipal and Industrial Diversions,NA,NA,NA
UT,Municipal and Industrial Return Flow,NA,NA,NA
UT,Natural System Use,NA,NA,NA
UT,Precipitation,NA,NA,NA
UT,Pumped Groundwater,NA,NA,NA
UT,Reservoir Evaporation,NA,NA,NA
UT,Riparian Depletions,NA,NA,NA
UT,River Inflow,NA,NA,NA
UT,River Use By Wet Pasture,NA,NA,NA
UT,Surface Diversion to Cropland,NA,NA,NA
UT,Surface Water Flows,NA,NA,NA
UT,Total Land Return Flow,NA,NA,NA
UT,Tributary Inflow,NA,NA,NA
WY,Crop Consumptive Use,NA,NA,NA
WY,Divertible Flow,NA,NA,NA
WY,Gaged Stream Inflow,NA,NA,NA
WY,Gaged Stream Outflow,NA,NA,NA
WY,Industrial Water Use,NA,NA,NA
WY,Irrigation Surface Water Diversions,NA,NA,NA
WY,Livestock Consumptive Use,NA,NA,NA
WY,Municipal and Domestic Depletions,NA,NA,NA
WY,Municipal and Domestic Use,NA,NA,NA
WY,Precipitation,NA,NA,NA
WY,Reservoir Evaporation,NA,NA,NA
WY,Reservoir Storage,NA,NA,NA
WY,Total Annual Natural Streamflow,NA,NA,NA
WY,Total Diversions,NA,NA,NA
WY,Ungaged Stream Gains,NA,NA,NA
