dsL,pL,emL,cL
Community Collaborative Rain Hail and Snow Network (CoCoRaHS),Potential Consumptive Use,CO Consumptive Use Method,Crop Consumptive Use-CO
Remote Automated Weather Stations (RAWS),Potential Consumptive Use,CO Consumptive Use Method,Crop Consumptive Use-CO
National Oceanic and Atmospheric Administration Stations,Precipitation,CO Consumptive Use Method,Crop Consumptive Use-CO
PRISM,Precipitation,CO Consumptive Use Method,Crop Consumptive Use-CO
CO Agricultural Meteorology Network Station (COAGM),Precipitation,CO Consumptive Use Method,Crop Consumptive Use-CO
Snotel Network of Weather Stations,Precipitation,CO Consumptive Use Method,Crop Consumptive Use-CO
Weather Stations,Precipitation,CO Consumptive Use Method,Crop Consumptive Use-CO
Community Collaborative Rain Hail and Snow Network (CoCoRaHS),Precipitation,CO Consumptive Use Method,Crop Consumptive Use-CO
Remote Automated Weather Stations (RAWS),Precipitation,CO Consumptive Use Method,Crop Consumptive Use-CO
HydroBase,Supply Source,CO Consumptive Use Method,Crop Consumptive Use-CO
HydroBase,Supply Type,CO Consumptive Use Method,Crop Consumptive Use-CO
USGS Stream Gages,Water Supply,CO Consumptive Use Method,Crop Consumptive Use-CO
CO Diversion Records,Water Supply,CO Consumptive Use Method,Crop Consumptive Use-CO
CO Division of Water Resources Gages,Water Supply,CO Consumptive Use Method,Crop Consumptive Use-CO
NA,NA,NA,Groundwater Extraction-CA
Midwest Plan Service Structures and Environmental Handbook 1977,Average Use Rate,CO Livestock Method,Livestock Consumptive Use-CO
State Agricultural Statistics,Livestock Count,CO Livestock Method,Livestock Consumptive Use-CO
Colorado Census Bureau,Population,CO Municipal and Industrial Method,Municipal and Industrial Consumptive Use-CO
US Census Bureau,Population,Withdrawal Method,Municipal Consumptive Use-WY
US Census Bureau,Population Served by Public Water Supply,Withdrawal Method,Municipal Consumptive Use-WY
US Census Bureau,Self Supplied Domestic Population,Withdrawal Method,Municipal Consumptive Use-WY
US Census Bureau,Population,Withdrawal Method,Municipal Total Use-WY
US Census Bureau,Population Served by Public Water Supply,Withdrawal Method,Municipal Total Use-WY
US Census Bureau,Self Supplied Domestic Population,Withdrawal Method,Municipal Total Use-WY
NA,NA,NA,Surface Water Diversions-CA
NA,NA,NA,Agricultural and Municipal Diversions-UT
NA,NA,NA,Applied Water-CA
National Oceanic and Atmospheric Administration Stations,Solar Radiation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
PRISM,Solar Radiation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Geological Survey (USGS),Solar Radiation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Snotel Network of Weather Stations,Solar Radiation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Weather Stations,Solar Radiation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Remote Automated Weather Stations (RAWS),Solar Radiation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Weather Service Stations,Solar Radiation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Climatic Data Center's Climatography of the United States No. 81,Solar Radiation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Natural Resources Conservation Service Stations (NRCS),Solar Radiation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Bureau of Land Management (BLM),Solar Radiation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
WY Department of Environmental Quality (DEQ),Solar Radiation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Wyoming State Engineer's Office Stations,Solar Radiation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Oceanic and Atmospheric Administration Stations,Temperature,WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Geological Survey (USGS),Temperature,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Snotel Network of Weather Stations,Temperature,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Remote Automated Weather Stations (RAWS),Temperature,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Climatic Data Center's Climatography of the United States No. 81,Temperature,WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Bureau of Land Management (BLM),Temperature,WY Consumptive Use Method,Agricultural Consumptive Use-WY
WY Department of Environmental Quality (DEQ),Temperature,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Wyoming State Engineer's Office Stations,Temperature,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Oceanic and Atmospheric Administration Stations,Vapor Pressure,WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Geological Survey (USGS),Vapor Pressure,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Snotel Network of Weather Stations,Vapor Pressure,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Remote Automated Weather Stations (RAWS),Vapor Pressure,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Weather Service Stations,Vapor Pressure,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Climatic Data Center's Climatography of the United States No. 81,Vapor Pressure,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Natural Resources Conservation Service Stations (NRCS),Vapor Pressure,WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Bureau of Land Management (BLM),Vapor Pressure,WY Consumptive Use Method,Agricultural Consumptive Use-WY
WY Department of Environmental Quality (DEQ),Vapor Pressure,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Wyoming State Engineer's Office Stations,Vapor Pressure,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Oceanic and Atmospheric Administration Stations,Wind Run,WY Consumptive Use Method,Agricultural Consumptive Use-WY
PRISM,Wind Run,WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Geological Survey (USGS),Wind Run,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Snotel Network of Weather Stations,Wind Run,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Weather Stations,Wind Run,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Remote Automated Weather Stations (RAWS),Wind Run,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Climatic Data Center's Climatography of the United States No. 81,Wind Run,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Natural Resources Conservation Service Stations (NRCS),Wind Run,WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Bureau of Land Management (BLM),Wind Run,WY Consumptive Use Method,Agricultural Consumptive Use-WY
WY Department of Environmental Quality (DEQ),Wind Run,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Wyoming State Engineer's Office Stations,Wind Run,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Oceanic and Atmospheric Administration Stations,Climate Coefficient (kt),WY Consumptive Use Method,Agricultural Consumptive Use-WY
PRISM,Climate Coefficient (kt),WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Climatic Data Center's Climatography of the United States No. 81,Climate Coefficient (kt),WY Consumptive Use Method,Agricultural Consumptive Use-WY
SCS TR21,Crop Growth State Coefficient (Kc),WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Oceanic and Atmospheric Administration Stations,Mean Monthly Air Temperatures (T),WY Consumptive Use Method,Agricultural Consumptive Use-WY
PRISM,Mean Monthly Air Temperatures (T),WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Geological Survey (USGS),Mean Monthly Air Temperatures (T),WY Consumptive Use Method,Agricultural Consumptive Use-WY
Weather Stations,Mean Monthly Air Temperatures (T),WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Weather Service Stations,Mean Monthly Air Temperatures (T),WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Climatic Data Center's Climatography of the United States No. 81,Mean Monthly Air Temperatures (T),WY Consumptive Use Method,Agricultural Consumptive Use-WY
Natural Resources Conservation Service Stations (NRCS),Mean Monthly Air Temperatures (T),WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Bureau of Land Management (BLM),Mean Monthly Air Temperatures (T),WY Consumptive Use Method,Agricultural Consumptive Use-WY
WY Department of Environmental Quality (DEQ),Mean Monthly Air Temperatures (T),WY Consumptive Use Method,Agricultural Consumptive Use-WY
Wyoming State Engineer's Office Stations,Mean Monthly Air Temperatures (T),WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Oceanic and Atmospheric Administration Stations,Crop Irrigation Requirement,WY Consumptive Use Method,Agricultural Consumptive Use-WY
PRISM,Crop Irrigation Requirement,WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Geological Survey (USGS),Crop Irrigation Requirement,WY Consumptive Use Method,Agricultural Consumptive Use-WY
SCS TR21,Crop Irrigation Requirement,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Snotel Network of Weather Stations,Crop Irrigation Requirement,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Weather Stations,Crop Irrigation Requirement,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Remote Automated Weather Stations (RAWS),Crop Irrigation Requirement,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Weather Service Stations,Crop Irrigation Requirement,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Climatic Data Center's Climatography of the United States No. 81,Crop Irrigation Requirement,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Natural Resources Conservation Service Stations (NRCS),Crop Irrigation Requirement,WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Bureau of Land Management (BLM),Crop Irrigation Requirement,WY Consumptive Use Method,Agricultural Consumptive Use-WY
WY Department of Environmental Quality (DEQ),Crop Irrigation Requirement,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Wyoming State Engineer's Office Stations,Crop Irrigation Requirement,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Satellite and Aerial Photos,Crop Type,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Oceanic and Atmospheric Administration Stations,Effective Precipitation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
PRISM,Effective Precipitation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Geological Survey (USGS),Effective Precipitation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Snotel Network of Weather Stations,Effective Precipitation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Weather Stations,Effective Precipitation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Remote Automated Weather Stations (RAWS),Effective Precipitation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Weather Service Stations,Effective Precipitation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Climatic Data Center's Climatography of the United States No. 81,Effective Precipitation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Natural Resources Conservation Service Stations (NRCS),Effective Precipitation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Bureau of Land Management (BLM),Effective Precipitation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
WY Department of Environmental Quality (DEQ),Effective Precipitation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Wyoming State Engineer's Office Stations,Effective Precipitation,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Satellite and Aerial Photos,Irrigated Acreage,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Oceanic and Atmospheric Administration Stations,Potential Consumptive Use,WY Consumptive Use Method,Agricultural Consumptive Use-WY
PRISM,Potential Consumptive Use,WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Geological Survey (USGS),Potential Consumptive Use,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Snotel Network of Weather Stations,Potential Consumptive Use,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Weather Stations,Potential Consumptive Use,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Remote Automated Weather Stations (RAWS),Potential Consumptive Use,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Weather Service Stations,Potential Consumptive Use,WY Consumptive Use Method,Agricultural Consumptive Use-WY
National Climatic Data Center's Climatography of the United States No. 81,Potential Consumptive Use,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Natural Resources Conservation Service Stations (NRCS),Potential Consumptive Use,WY Consumptive Use Method,Agricultural Consumptive Use-WY
US Bureau of Land Management (BLM),Potential Consumptive Use,WY Consumptive Use Method,Agricultural Consumptive Use-WY
WY Department of Environmental Quality (DEQ),Potential Consumptive Use,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Wyoming State Engineer's Office Stations,Potential Consumptive Use,WY Consumptive Use Method,Agricultural Consumptive Use-WY
USGS Stream Gages,Water Supply,WY Consumptive Use Method,Agricultural Consumptive Use-WY
Wyoming Water Resources Data System (WRDS),Water Supply,WY Consumptive Use Method,Agricultural Consumptive Use-WY
WY Diversion Records,Water Supply,WY Consumptive Use Method,Agricultural Consumptive Use-WY
FAO 56 Chapter 6 Single Crop Coefficients (Kc),Crop Growth State Coefficient (Kc),Crop Coefficient Approach,Evapotranspiration-CA
California Irrigation Management Information System (CIMIS),Reference Crop ET (ETo),Crop Coefficient Approach,Evapotranspiration-CA
CA Irrigation Training and Research Center (ITRC) Evapotranspiration Data,Reference Crop ET (ETo),Crop Coefficient Approach,Evapotranspiration-CA
NA,NA,NA,Irrigation Surface Water Diversions-WY
NA,NA,NA,Total Diversions-WY
National Oceanic and Atmospheric Administration Stations,Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
PRISM,Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
Weather Stations,Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
MesoWest Stations,Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Solar Radiation,UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Temperature,UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Temperature,UT Consumptive Use Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Temperature,UT Consumptive Use Method,Agricultural Depletions-UT
MesoWest Stations,Temperature,UT Consumptive Use Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Temperature,UT Consumptive Use Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Temperature,UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Vapor Pressure,UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Vapor Pressure,UT Consumptive Use Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Vapor Pressure,UT Consumptive Use Method,Agricultural Depletions-UT
MesoWest Stations,Vapor Pressure,UT Consumptive Use Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Vapor Pressure,UT Consumptive Use Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Vapor Pressure,UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
PRISM,Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
Weather Stations,Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
MesoWest Stations,Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Wind Run,UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Climate Coefficient (kt),UT Consumptive Use Method,Agricultural Depletions-UT
PRISM,Climate Coefficient (kt),UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Climate Coefficient (kt),UT Consumptive Use Method,Agricultural Depletions-UT
USU Research Report 145,Crop Growth State Coefficient (Kc),UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
PRISM,Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
Weather Stations,Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
MesoWest Stations,Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Mean Monthly Air Temperatures (T),UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
PRISM,Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
Weather Stations,Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
MesoWest Stations,Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Crop Irrigation Requirement,UT Consumptive Use Method,Agricultural Depletions-UT
Satellite and Aerial Photos,Crop Type,UT Consumptive Use Method,Agricultural Depletions-UT
Ground Survey,Crop Type,UT Consumptive Use Method,Agricultural Depletions-UT
National Oceanic and Atmospheric Administration Stations,Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
PRISM,Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
US Bureau of Reclamation AgriMet Stations,Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
Weather Stations,Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
Emery Water Conservancy District Stations,Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
MesoWest Stations,Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
Fruit Growers Network Stations (FGNET),Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
Soil Climate Analysis Network (SCAN),Effective Precipitation,UT Consumptive Use Method,Agricultural Depletions-UT
Historical Data,Irrigated Acreage,UT Consumptive Use Method,Agricultural Depletions-UT
Satellite and Aerial Photos,Irrigated Acreage,UT Consumptive Use Method,Agricultural Depletions-UT
Ground Survey,Irrigated Acreage,UT Consumptive Use Method,Agricultural Depletions-UT
USGS Stream Gages,Water Supply,UT Consumptive Use Method,Agricultural Depletions-UT
UT Diversion Records from River Commissioners,Water Supply,UT Consumptive Use Method,Agricultural Depletions-UT
NA,NA,NA,Surface Diversion to Cropland-UT
National Oceanic and Atmospheric Administration Stations,Solar Radiation,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
PRISM,Solar Radiation,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
US Bureau of Reclamation AgriMet Stations,Solar Radiation,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
Weather Stations,Solar Radiation,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
Emery Water Conservancy District Stations,Solar Radiation,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
MesoWest Stations,Solar Radiation,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
Fruit Growers Network Stations (FGNET),Solar Radiation,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
Soil Climate Analysis Network (SCAN),Solar Radiation,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
National Oceanic and Atmospheric Administration Stations,Temperature,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
US Bureau of Reclamation AgriMet Stations,Temperature,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
Emery Water Conservancy District Stations,Temperature,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
MesoWest Stations,Temperature,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
Fruit Growers Network Stations (FGNET),Temperature,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
Soil Climate Analysis Network (SCAN),Temperature,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
National Oceanic and Atmospheric Administration Stations,Vapor Pressure,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
US Bureau of Reclamation AgriMet Stations,Vapor Pressure,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
Emery Water Conservancy District Stations,Vapor Pressure,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
MesoWest Stations,Vapor Pressure,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
Fruit Growers Network Stations (FGNET),Vapor Pressure,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
Soil Climate Analysis Network (SCAN),Vapor Pressure,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
National Oceanic and Atmospheric Administration Stations,Wind Run,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
PRISM,Wind Run,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
US Bureau of Reclamation AgriMet Stations,Wind Run,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
Weather Stations,Wind Run,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
Emery Water Conservancy District Stations,Wind Run,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
MesoWest Stations,Wind Run,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
Fruit Growers Network Stations (FGNET),Wind Run,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
Soil Climate Analysis Network (SCAN),Wind Run,Daily Penman-Monteith,Agricultural Potential Consumptive Use-UT
